place,info,문의 및 안내,주소,이용시간,휴일,주차,판매 품목,접근로,출입통로,보조견 동반,review,홈페이지,이용가능시설,시설이용료,주차 요금,이용요금,체험프로그램,부대시설,화장실,체험 프로그램,입장료,체험가능 연령,수용인원,장애인 주차 안내,엘리베이터,"영유아가족
기타상세",유도안내 설비,주요시설,대여안내,점자 블록,수유실,유모차,규모,안내 요원,지정현황,지체장애 기타 상세,유아용보조의자,대중 교통,주차요금,휠체어,점자 홍보물,오디오 가이드,예약안내 홈페이지,관람석,보유장비,강습안내,입점브랜드,시각장애 기타상세,객실,코스안내,자막 비디오 가이드,수화 안내
송현시장,"대구광역시 달서구 송현동에 있는 송현시장은 1982년도에 형성된 소규모 시장이다. 한 때는 78개 점포가 성업하였을 정도로 큰 규모였지만 지금은 상가주택복합형 건물이 노후화가 심해 상가 내부에 위치한 점포들은 이전을 해, 빈 점포가 대부분이다. 인근 주택가 주민들을 대상으로 채소가게와 식당, 참기름집, 분식점 등 8곳이 영업을 이어가고 있으며, 시장 주변으로 상점가가 밀집하여 있다. 상가 내부에서 유일하게 가게를 지키고 있는 '진주식당'은 단골이 끊이지 않는 돼지국밥 맛집이다. 주변에 송현공원, 달서별빛캠프 캠핑장, 대덕승마장, 학산공원이 있으며, 대구지하철 1호선 송현역이 도보로 1분 거리에 있다.",,대구광역시 달서구 송현동3길 2 (송현동),07:00~20:00,연중무휴 (개별휴무),가능 (건물 뒤 전용주차장),"농수산물, 잡화류",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상동시장,"대구광역시 수성구 상동에 있는 상동시장은 ‘상동슈퍼상가’로 시작해 시장으로 발전한 40년이 넘은 소규모 시장이다. 1998년 IMF 이전까지는 번성한 시장이었으나 IMF 위기를 겪으면서 점차 쇠락하기 시작하여 지금은 도로변 상점만이 남아 시장이라는 것을 증명하고 있다. 특히, 코로나-19를 겪으면서 사람들의 발걸음이 뜸해져 주변에 아파트단지가 밀집해 있음에도 좀처럼 시장 상권이 회복되지 않고 있다. 시장 안쪽에는 돼지국밥과 백반을 제공하는 허름한 식당 몇 개가 남아있어 이곳이 시장이었음을 알려준다. 상동시장에서는 돼지국밥과 콩국수가 유명하다. 주변에 수성못과 수성유원지가 있어 함께 들러보면 좋다.",,대구광역시 수성구 상화로 38 (상동),08:00 ~ 20:00 (점포별 상이),점포별 상이,,"농수산물, 잡화류, 참기름",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남문시장,"대구광역시 중구 명륜동에 있는 남문시장은 반월당역과 350m 거리에 있어 접근성이 좋다. 2021년 10월 현재 230여 개 상점이 성업 중이다. 규모로 따지면 서문시장, 칠성시장, 관문시장, 대명시장 등 대구에서 잘 알려진 큰 시장과는 비교가 되지 않지만, 시장과 함께 한 상인들은 오랜 세월 중구를 지켜온 터줏대감이라 할 수 있다. 남문시장에는 횟집과 식당이 있지만, 유명한 떡집 3곳이 있다. 서울떡집, 경남떡집, 낙원떡집이 바로 그 주인공이다. 매일 이른 새벽부터 떡을 만들고 직접 포장까지 하니 단골손님이 끊이지 않는다. 백설기, 인절미, 약밥 등 먹음직스러운 떡이 진열대에 줄을 서 있다. 그중에서도 남문시장 떡집에서 유명한 떡은 '콩떡'이다. 남문시장은 어린시절 보았던 시장통이 생각나게 하는 오래된 전통시장이다.",,"대구광역시 중구 명륜로 70 (남산동,남문아파트1지구)","08:00~22:00
※ 점포별 영업시간 상이함","연중무휴
※ 점포별 개별 휴무",,"농수산물, 잡화류, 떡 등",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대구시장,"대구광역시 달서구 두류동에 있는 서대구시장은 소형 크기의 재래시장이다. 2021년 10월 현재 30여 개 상점이 성업 중이다. 1970년대에 개설되어 지금까지 재래시장의 형태를 유지하고 있다. 인근에는 능금 근린공원과 함께 공영주차장이 있어 주차가 편리하다. 대구 지하철 2호선 반고개역 2번 출구와 인접하여 대중교통을 이용하기 좋다. 서대구시장과 주변에는 조개구이와 무침회 골목도 형성되어 있어 퇴근길 단골손님의 발길이 이어진다. 서대구시장의 유명 점포로는 소문난떡집과 호식이두마리치킨 두류점, 정민막창이 있다. 시장 후문 쪽에는 미로 마을사업을 통해 조성된 골목벽화가 있어 찾는 이들의 즐거움을 더한다. 주변에 두류공원, 이월드, 청라언덕, 동성로 등 대구의 대표 관광지가 모여있어 연계 관광이 가능하다.",,대구광역시 달서구 명덕로2길 30 (두류동),"08:00~19:00
※ 점포별 영업시간 상이",연중 무휴(개별휴무),있음-능금공원공영주차장(약30~40대) / 주차요금 무료,"농수산물, 잡화류, 떡, 막창 등",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관음시장(대구),"대구광역시 북구 관음동에 위치한 관음시장은 1994년에 개장하여 운영 중인 상설 시장이다. 작은 식당과 떡가게, 과일가게, 채소, 건어물 등의 점포가 영업하고 있다. 시장 내부는 협소하지만, 외부에도 도로를 따라 많은 상점이 분포되어 있다. 인근에 아파트단지와 주택가가 밀집되어 있어 관음동 주민들이 많이 찾으며, 시장 내에 위치한 관음떡집은 겉모습은 허름하지만 줄서서 기다릴 정도로 유명한 떡집이다. 평일 약 200명, 주말에도 약 200여 명의 고객이 다녀간다. 주변에 팔공산도립공원, 칠곡향교, 운암지 등의 관광지가 모여있어 연계관광이 가능하다.",,대구광역시 북구 관음중앙로28길 1 (관음동),08:00 ~ 20:00,연중 무휴(개별휴무),불가 (근처 공영주차장 이용),"농수산물, 잡화류, 건어물 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
침산골목시장,"대구광역시 북구 침산동에 있는 침산 골목시장은 언제 형성되었는지, 언제부터 쇠퇴하였는지 모를 정도로 작은 골목 하나에 형성된 시장이다. 겉모습만 봐서는 차도와 인도가 구분되어 있지 않아 시장의 모습은 아니지만 한때는 빽빽하게 점포가 들어설 정도로 황금기가 있었다. 지금은 주변에 공장이 많이 생겨 주민의 발길이 많이 끊어진 채로 약 10여 개의 점포만이 명맥을 유지하고 있다. 약 100m 정도의 골목 양옆으로 과일가게, 반찬가게, 식당, 분식집이 모여있다. 골목 입구에 세워진 ‘침산 골목시장’ 입간판이 그나마 이곳이 시장이라는 것을 알려준다. 때문에 간혹 단골손님이라도 점포에 찾아오면 반갑게 맞이해 준다. 주변에 침산공원, 금호강이 있어 들러보면 좋다.",,대구광역시 북구 노원동1가 19-17,07:00~20:00 (점포별로 상이),연중 무휴 (개별휴무),,"농수산물, 잡화류",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수목원생활온천,"수목원생활온천은 대구 달서구에 위치한 자연 친화적인 온천시설이다. 이곳은 풍부한 미네랄이 함유된 온천수로, 피로 해소와 피부 미용에 좋은 효과를 제공한다. 온천 외에도 다양한 사우나와 힐링 시설이 마련되어 있어 방문객들이 편안하게 휴식을 취할 수 있다. 주요 시설은 대온천장과 바데풀, 춘천연옥 불가마, 피트니스 센터가 있다. 수목원생활온천은 대구에서 중요한 힐링 명소로, 몸과 마음의 재충전을 제공하는 곳이다.",,대구광역시 달서구 상화로 79 (진천동),"[온천+바데풀]
06:00~23:00
[불가마]
09:00~21:30
※ 이용시간은 변동될 수 있으므로 홈페이지 참고",연중무휴,"가능
요금 (4시간 무료 / 이후 30분 당 1,000원씩 추가 요금 발생)",,,,,수목원 식물을 구경하고 주위에 맛집이 즐비해 무엇을 먹던 최고의 만족을 주는 식당 그리고 수목원생활온천의 깔끔한 시설과 전통적인 온천! 적극 추천합니다. 수목원에 온천 힐링되는 조합이네요 가보고싶어요,http://www.lifespa.co.kr/,온천 / 불가마 / 피트니스센터,"[온천+바데풀]
- 남자 10,000원
- 여자 9,500원
- 어린이(7세 미만) 5,000원

[불가마]
- 남자 (평일) 15,000원 / (주말) 18,000원
- 여자 (평일) 15,000원 / (주말) 18,000원
- 어린이(7세 미만) 8,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보이드 갤러리,"보이드갤러리는 대구 중구 대봉동에 자리한 미술관이다. 관람객들에게 예술을 통한 새로운 시각과 감동을 전달하고, 예술과 문화의 가치를 높이는 공간으로 자리 잡고 있다. 이 갤러리는 실험적이고 독창적인 작품들을 전시하며, 신진 작가부터 유명 작가에 이르기까지 다양한 예술가들의 작품을 소개한다. 갤러리 내부는 깔끔하고 세련된 디자인으로, 작품들이 더욱 돋보일 수 있는 환경을 제공한다. 이곳은 미술 애호가들과 예술을 사랑하는 이들에게 창의적이고 영감을 주는 공간이다.",,대구광역시 중구 명륜로26길 79-2,10:00~19:00,연중무휴,가능,,,,,가보고싶어요!!!자연과함께 너무좋네요!!! 가보고 싶어요. 대구 살았을때 못가봤던 곳이네요. 혼자서 가도 좋을 것 같아요 도심 속에 이런 복합문화공간이 조성 있네요. 꼭 가보고 싶다 이런 복합문화 공간 꼭 방문해보고 싶어요. 대구 가게되면 들려야겠어요ㅎㅎ 대구 가 보면 꼭 방문하겠습니다 ㅋㅋ 건물 너무 이뻐요!! 가장 가까운 곳에 이런 멋진 곳이? 이번 주말은 여기닷!!! 가보고 싶어여~~ 이번에 가봐야겠습니다 가보고싶다 아이들과 걸어다니면서 부담없이 구겨힐수 있는 곳이면 좋겠어요,http://blog.naver.com/galleryvoid123,,,"1만 원 이상 구매 시 2시간 무료, 2만 원 이상 구매 시 3시간 무료",※ 전시별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동제미술관(동제미술전시관),"동제미술관은 대구 달성군 가창면에 자리 잡고 있다. 2002년 개관한 대구 사설 미술관으로 상시 전시를 하고 전시 작품은 가격 협의를 통해 소장이 가능하다. 미술관에는 널찍한 잔디 광장, 화가의 작업 공간, 카페, 아트숍, 전시 공간 등이 갖춰져 있다. 입장료를 내면 카페에서 파는 모든 음료 중 하나를 선택해 맛볼 수 있다. 미술관은 파동 IC와 가깝고, 주변에는 화원자연휴양림이 위치해 있다.",,대구광역시 달성군 가창면 헐티로10길 18,11:00~18:00,연중무휴,"가능
요금 (무료)",,,,,,https://blog.naver.com/dongje_artmuseum,,,,"- 성인 7,000원
- 어린이(초등학생 이하) 5,000원",※ 일정별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교항리 이팝나무 군락지,"옥포읍 교향리 마을에서 약 100m쯤 떨어져 있는 평탄한 구릉지대의 세청숲 속에 수령이 약 300년 이상 된 이팝나무 45주가 자라고 있다. 이팝나무 외에 150여 년이 된 상수리나무, 굴참나무, 느티나무, 말채나무 등 거목들이 많이 군거하고 있어 이 숲은 학술연구상으로 풍치림으로서 보호할 가치가 있다. 이팝나무는 낙엽활엽교목으로 5월 초에 흰색의 꽃이 피는데 흰 꽃망울로 덮인 숲을 멀리서 바라보면 흰구름이 떠나가는 형상이다. 이팝나무는 독립수로 자라는 곳이 있으나 이 숲처럼 집단으로 군락을 이루고 있는 곳은 드물다. 또한 과거 마을에서 예림사상을 고취하기 위하여 숲에 위해를 가하는 자는 백미 1두씩 벌과금을 물려 나무를 보호해 왔다는 설이 있으며, 칠월 칠석에는 마을에서 당산제를 지내고 있다.",,대구광역시 달성군 옥포읍 교항리 958,,없음 (연중 상시 개방),있음 (소형 10대 정도 주차가능),,,,,평소에는 조용해서 산책하기 좋지만 이팝나무 시즌에는 사람도 많고 차도 많아요. 거기에 비해 주변 인프라는 전무한 상태라 아쉬워요. 화창한 봄날 돗자리 도시락 들고 아이들과 걸어서 소풍가기 좋아요. 소문만큼은 풍성하지 않아 조금 실망 ㅠㅠ 주변 볼거리두 미흡하고.. 지나가다 여유있음 한번 들러보는 것두... 주변에 아직 아무것도 형성된게 없이 덩그러니 군락지만 있어서 조금 아쉬울 수 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송현시장,"대구광역시 달서구 송현동에 있는 송현시장은 1982년도에 형성된 소규모 시장이다. 한 때는 78개 점포가 성업하였을 정도로 큰 규모였지만 지금은 상가주택복합형 건물이 노후화가 심해 상가 내부에 위치한 점포들은 이전을 해, 빈 점포가 대부분이다. 인근 주택가 주민들을 대상으로 채소가게와 식당, 참기름집, 분식점 등 8곳이 영업을 이어가고 있으며, 시장 주변으로 상점가가 밀집하여 있다. 상가 내부에서 유일하게 가게를 지키고 있는 '진주식당'은 단골이 끊이지 않는 돼지국밥 맛집이다. 주변에 송현공원, 달서별빛캠프 캠핑장, 대덕승마장, 학산공원이 있으며, 대구지하철 1호선 송현역이 도보로 1분 거리에 있다.",,대구광역시 달서구 송현동3길 2 (송현동),07:00~20:00,연중무휴 (개별휴무),가능 (건물 뒤 전용주차장),"농수산물, 잡화류",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동산계곡펜션,"동산계곡펜션은 대구 인근, 경북 군위의 팔공산 자락에 위치한 펜션 겸 캠핑장이다. 오토캠핑 사이트 4개와 카라반 4개, 펜션이 함께 있다. 바닥은 파쇄석이고, 사이트는 데크가 갖춰져 있다. 캠핑장 옆으로 흐르는 동산계곡은 팔공산의 수려한 산세와 풍부한 수량을 자랑하며, 20여 개의 크고 작은 폭포가 펼쳐져 있어 물놀이하기 좋다. 물놀이 이외에도 봄이면 벚꽃, 가을이면 단풍놀이 등 즐길 거리가 있다.",,대구광역시 군위군 부계면 원효길 129-9,15:00 ~ 익일 11:00,,가능 (무료),,,,,,http://dongsanpension.co.kr/,,,,"데크(캠핑사이트) : 50,000원~
카라반 (커플형) : 80,000원~ 120,000
별관 (가족형) : 100,000원~ 200,000원
본관 (단체형) : 400,000원~600,000원
※ 이용요금은 변동 될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,"전기,온수,매점,식당",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
