place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,체험 프로그램,화장실,시설이용료,review,주차 요금,규모,접근로,출입통로,장애인 주차 안내,엘리베이터,이용가능시설,이용요금,입장료,수용인원,체험프로그램,관람석,점자 블록,"영유아가족
기타상세",지정현황,주요시설,코스안내,휠체어,시각장애 기타상세,유도안내 설비,유모차,대중 교통,수유실,점자 홍보물,안내 요원,매표소,개장기간,부대시설
구암팜스테이마을,"구암마을은 도시와 인접해 찾기 쉬울 뿐 아니라 문화시설이 잘 갖춰진 전원주택형 마을이다. 아홉 개의 바위가 거북의 등을 닮았다 해서 구암이라 불리게 되었다. 팔공산 자락을 휘감아 도는 순환도로변에 벚꽃이 만개할 때 즈음, 이곳 농사 체험은 본격적으로 시작된다. 각종 채소류의 씨 뿌리기가 시작되고 무엇보다 사과나무 과실을 골라내는 적과가 시작돼 이를 체험할 수 있다. 사과는 물론 포도, 복숭아, 밤 등의 과실이 풍부하고 콩 뽑기와 벼 베기가 이루어지기 때문이다. 사과나 밤 따기는 이미 인근 유치원생들이 즐겨 체험할 정도라 한다. 또, 팜스테이 활성화를 위해 농협에서는 주말농장도 운영하고 있는데 상추나 고추 등의 채소류를 직접 키우고 맛도 볼 수 있다.",,http://www.gooam.com,대구광역시 동구 구암길 38,상시 개방,연중무휴,"가능
요금 (무료)",계절별 수확체험 / 식(食) 체험 / 공예체험 등,있음,※ 체험별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
패션디자인개발지원센터,"패션디자인개발지원센터는 대구 북구 산격동에 있는 패션센터로, 지역 패션산업 활성화를 위하여 설립되었다. 신진 패션디자이너 양성과 지원을 위한 디자인 스튜디오, 작업장, 패션쇼 및 문화 행사의 대중화를 위한 다목적 공연시설, 전시 공간 등의 시설을 갖추고 있다. 공연시설은 최대 인원 1,000명을 수용하는 공간과 조명, 음향 장비를 갖추고 분장실을 따로 이용할 수 있다. 공연장 바로 옆 전시 공간은 공연 행사와 연계하여 안내데스크 등의 장소로 활용할 수 있다.

(출처: 패션디자인개발지원센터)",,http://fxco.kr,대구광역시 북구 유통단지로14길 17,"09:00~17:00
※ 행사에 따라 다름",매주 토요일 / 일요일,가능,,장애인 전용 화장실 있음,,,"유료 (30분 / 1,000원)
※ 단, 내방객에 한해 2시간 무료","대지면적 4,114.80㎡ / 건축면적 2,573.53㎡ / 연면적 8,672.03㎡
규모 : 지상 3층",출입구까지 경사로가 설치되어 있음_무장애 편의시설,주출입구는 단차가 없어 휠체어 접근 가능함,"장애인 전용 주차구역 있음(공영주차장 2대,건물 경사로 앞 2대)_무장애 편의시설",엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,
병암서원,"성주 도씨 서촌계의 랜드마크인 병암서원은성주 도씨 도응유(都應兪)와 경유(慶兪) 형제를 배향하고 있는 서원으로 대구 달서구 용산동 성산 고등학교 옆 대로변에 자리하고 있다. 병암서원의 시작은 인조 3년인 1625년으로 거슬러 올라간다. 성주의 선비 도경유가 낙음정사를 세워 제자들을 가르쳤던 것이 후에 병암서당으로, 다시 병암서원으로 발전했다. 1868년 흥선대원군의 서원 철폐령으로 병암서원도 헐렸으나 후손들이 1924년 현재 위치에 복원했다. 2000년 도시개발계획에 따라 다시 옛 서원을 헐고, 지금의 자리에 강당, 사당, 동재, 서재 등 목조건물 10여 동과 회관, 지하 주차장 등 연건평 560여 평을 새로 건립하고 2003년 5월에 준공하였다. 이 한옥들은 2003년 ‘대구광역시 우수 건축물’로 선정돼 상을 받은 작품들이다. 경내에 황토를 가마에 구워 만든 전돌담장은 경복궁 자경전 꽃담의 일부를 재현하였으며 근래 대구전통문화센터를 통해 한옥 숙박 체험으로 이용하기도 하며 고택 음악회등이 열리는 등 서원이 빗장을 열고 다양한 형태로 시민에게 공간을 제공하는 모습이다.",,https://dalseo.daegu.kr/tour,대구광역시 달서구 새방로 21,※ 시설별 상이하므로 전화문의,,"가능
요금 (무료)",전통문화체험,있음,※ 시설별 상이하므로 전화문의,,,,,,,,사당 / 내삼문 / 협문 / 전사청 / 강당 / 동재 / 서재 / 외삼문,,,,,,,,,,,,,,,,,,,,,
중앙갤러리,"중구 봉산문화의 거리 대구제일중학교 인근에 있는 중앙갤러리는 1987년에 개관한 상업화랑이다. 매년 다수의 국내 유명 원로, 중견 작가의 기획전과 초대전을 열고 역량 있는 작가를 발굴하여 대중적으로 알리는 데 힘쓰고 있다. 또한 미술에 대한 정보를 정확히 파악해 작가와 애호가 사이에 실리 있는 교량 역할을 하고 있으며 서양 회화에 가려 자칫 가볍게 다루거나 잊혀져 가는 한국 근대 회화를 주목하며 취급하고 있다.",,https://tour.shinan.go.kr/home/tour/island_tour/amtae/place/page.wscms,대구광역시 중구 봉산문화길 34 (봉산동),10:00~19:00 (전화문의),"매주 일요일, 설날, 추석",불가능,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,
수도암(대구),"수도암은 비슬산 유가사의 부속 암자이다. 달성군 유가면 양리에 위치한 비슬산 유가사는 대한불교조계종 제9교구 본사인 동화사의 말사이다. 827년에 도성국사가 창건했다. 절 이름은 비슬산의 바위 모습이 아름다운 구슬과 부처의 형상과 같다 하여 옥 유, 절 가 자를 따서 지어졌다. 수도암은 유가사에서 북서편으로 500여 미터 떨어진 곳에 위치하고 있다. 1985년 성운이 크게 중창하였으며 비구니 수행도량으로 명성 높다. 아미타불을 주불로 모시고 있는 극락전, 삼성각, 두 요사채가 있는 아담한 암자이다. 극락전 앞뜰에는 옛 전설을 간직한 거북바위와 가지가 4미터 정도 뻗은 꽤 큰 떡갈나무가 있다. 암자 주변에는 낙암선사의 비문이 있다.
또 다른 부속 암자인 도성암은 경북지역의 3대 참선기도 도량으로 영남지역에서는 가장 유서 깊은 선원 중 하나다. 신라의 명승인 도성국사가 도를 통한 곳으로 전해지며, 암자 뒤 거대한 바위가 도통바위다. 유가사에서 도성암으로 오르는 길에 수도암이 자리하고 있다. 비슬산 빼어난 경치 속에 자연 닮은 사찰 유가사에서 수도암과 도성암까지 오롯이 번뇌 놓고 오기를 소원해 본다.",,,대구광역시 달성군 유가면 유가사길 161 (유가면),"상시 개방
※ 법당 폐문19:00",연중무휴,가능,,있음,,,,,,,,,극락전 / 천태각 / 산령각,,무료,,,,,,,,,,,,,,,,,,,
삼국유사교육문화회관,"삼국유사교육문화회관은 군위를 대표하는 문화, 예술, 체육의 중심지로 종합체육타운, 여성회관, 청소년문화의집, 문화예술회관, 기타 편의시설로 구성된 복합문화시설이다. 여성회관은 지역 여성들에게 다양한 문화와 교육의 기회를 제공하기 위해 음악, 미술 등의 교양강좌와 제과제빵, 미용, 재봉 등의 취미강좌를 열고 있다. 청소년문화의집은 군위청소년문화의집으로도 불리며 도서관, 보드게임장, 노래방 등 청소년의 교육과 문화생활과 관련한 강좌, 시설을 제공한다. 체육시설로는 수영장, 배드민턴장, 헬스장, 실내외 테니스장, 헬스장, 조깅트랙 등을 갖추고 있다. 또한 뮤지컬, 콘서트, 인형극, 연극 등을 공연하는 다목적극장(457석)과 조상유품 전시관인 숭덕관, 그밖에 야외공연장, 유아놀이방, 어르신 사랑방, 음악 분수대 등 시설이 마련되어 있다. 다양한 계층의 문화적 욕구를 충족시키기 위해 폭넓은 문화, 체육행사, 공연 등을 열어 지역 주민의 만족을 높이고 있다.",,http://www.gunwiart.go.kr/,대구광역시 군위군 군위읍 군청로 158,※ 공연별 상이하므로 홈페이지 참고,매주 월요일 / 1월 1일 / 설날ㆍ추석 당일,"가능
요금 (무료)",,,,,,,,출입구 경사로,장애인전용주차구역(10대) 있음_무장애 편의시설,엘리베이터/리프트 있음,,※ 공연별 상이하므로 홈페이지 참고,,600명,요리체험 / 음악교육 / 미술교육 / 방송댄스 등,장애인 좌석 있음,,,,,,,,,,,,,,,,
대구광역시립남부도서관,"남부도서관은 대구광역시 남구 소재한 공공도서관으로서 대구광역시교육청 직속기관이다. 문헌자료와 디지털자료 등 다양한 자료를 소장하여 지역주민들에게 서비스를 제공하고 여러 주제분야의 문화행사와 평생교육 프로그램을 운영하고 있다.
일반도서와 참고도서 지도자료를 소장하고 있는 도서종합자료실, 어린이도서와 육아도서를 소장하고 있는 어린이열람실, 신문 잡지 논문 등을 소장하고 있는 정기간행물실과 시청각실, 디지털자료실, 노인·장애인실을 운영하고 있다.
지역 주민의 교양 증진과 독서인구 저변 확대를 위해 교양강좌, 독서토론회, 이동도서관 운영, 어린이 및 청소년 문화극장, 외국어회화, 단전호흡등 여러 문화사업을 전개하고 있다.",,https://library.daegu.go.kr,대구광역시 남구 앞산순환로 512 (대명동),"[일반열람실] 07:00~22:00
[종합자료실/연속간행물실/디지털자료실]
평일 09:00~19:00 / 주말 09:00~17:00
[어린이자료실/장애인실,어르신방/중국문화정보실]
평일 09:00~18:00 / 주말 09:00~17:00","월요일 (매월 2주, 4주) / 국정공휴일","가능
요금(무료)",,,,"공부하기 정말 좋은 위치 선정이라 방문합니다. 시설도 깔끔하고 앞산의 맑은 공기를 느낄 수 있어 더욱 좋은 도서관이네요. 학생 땐 주변에 도서관이 많이 없어서 지역 거점 도서관에 대중교통 이용해서 갔었는데, 요즘엔 동네마다 거의 도서관이 하나씩 있어서 정말 오랜만에 방문을 해봤네요. 남구 도서관은 앞산 바로 밑에 있어 공기 좋고 조용한 느낌이 주는 평안함이 좋아요. 시설이 군데군데 오래된 티는 나지만, 크게 이용에 불편함은 없었어요. 책 잘 읽고 갑니다.",,"부지 18,082㎡, 건물 7,533.05㎡",출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,엘리베이터 있음,,무료,,,,,점자블록 있음(실내시설 연결 됨)_시각장애인 편의시설,어린이자료실 있음(2층),,,,,,,,,,,,,,
예연서원,"임진왜란 때 의병장으로 활동했던 곽재우(1552∼1617)의 충절을 추모하기 위해 세운 서원이다. 곽재우는 임진왜란이 일어나자 의병을 조직하여 경상도 일대에서 활약하여 큰 공을 세운 인물로 붉은 옷을 입은 장군이라는 뜻의 ‘홍의장군’으로도 널리 알려져 있다. 광해군 10년(1618)에 ‘충현사’로 처음 세웠고 현종 15년(1674)에 규모를 확장하여 서원의 모습을 갖추었다. 숙종 3년(1677) 나라에서 인정한 사액서원으로 ‘예연’이라는 이름을 받았다. 흥선대원군의 서원철폐령으로 고종 5년(1868)에 폐쇄되었고 한국전쟁으로 완전히 소실된 것을 1977년과 1984년에 걸쳐 복원하였다. 현재는 곽재우의 재종숙으로 정유재란 때 공을 세운 곽준의 위패를 추가로 모시고 있다. 경내 건물로는 사당과 강당 등 주요 건물과 제물을 준비하여 두던 고사, 숙소로 사용되던 동·서재 등이 있다. 사당은 곽재우와 곽준의 위패를 모시고 있는 건물이다. 강당은 유림의 회합장소와 교육 장소로 사용하던 건물로 중앙에는 마루를 구성하고 양 옆으로 온돌방을 배치한 구조이다. 해마다 3월과 9월에 제사를 지낸다. 경내에는 나라에 어려운 일이 있을 때마다 땀을 흘린다는 비석이 있어 흥미롭다.

(출처 : 국가유산청)",,https://www.khs.go.kr/main.html,대구광역시 달성군 유가읍 구례길 123,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,,,,,,,무료,,,,,,대구광역시 기념물 예연서원 (1995.05.12 지정),,,,,,,,,,,,,
백련사(대구),"1947년 3월 10일 수원 백씨(백남희 보살님)가 친정 부모님 무덤 옆에 절을 지으면 많은 중생을 구도할 수 있다는 선몽을 받고 건립하였다.
1986년 3월 황정광 주지 스님이 증축하여 오늘에 이르며 만해 용운, 남전 한규, 도봉 본연, 석두 보택, 성월 일전, 만공 월면, 용성 진종, 초부 적음 스님등이 설립 조사인 선학원 소속 사찰이다.
주변에 관덕정, 앞산해넘이 전망대, 앞산빨래터공원이 있다.",,,대구광역시 달서구 중흥로 67 (송현동),,,,,있음 (남/녀 분리),,,,,,,,,일주문 / 대웅전 / 감로당 / 산령각(산신각),,,,,,,,,,,,,,,,,,,,,
선교사블레어주택,"선교사인 블레어(Blair)와 라이스(Rice)가 살던 집으로 1910년경에 지어진 건물이다. 현재는 교육·역사박물관으로 사용되고 있다. 붉은 벽돌로 지은 2층집이며, 남북방향으로 긴 형태이고 안의 건축재료를 일부분 바꾼 것 이외에는 건물의 형태와 구조는 잘 남아 있다. 지붕 위엔 붉은 벽돌로 된 굴뚝이 있고 건물 안의 바닥은 나무로 된 마룻바닥이다. 1층에는 베란다·응접실·거실·침실·식당·부엌이 있고, 계단으로 연결된 2층에는 침실·욕실 등이 있다. 창문은 위아래로 열 수 있게 되었으며, 현관의 베란다 윗부분에는 일광욕실이 있다. 선교사 블레어 주택은 당시 미국의 주택모습을 살필 수 있는 좋은 건물이다.",,https://www.khs.go.kr/main.html,대구광역시 중구 달구벌대로 2029 (동산동),상시 개방 (내부관람은 현재 운영 중단 상태),연중무휴,"가능
요금 (무료)",,있음,,"선교박물관으로도 운영되고 있는 옛 가옥을 보고 있자면, 먼 타국으로 삶을 드리며 온 여정을 관찰할 수 있습니다. 무엇보다 보건의료라는 척박한 땅에 꼭 필요한 일들을 해나가신 선교사님들의 여정을 존경하게 됩니다~",,,,,,,,,무료,,,,,,대구광역시 유형문화유산 선교사블레어주택 (1989.06.15 지정),,,,,,,,,,,,,
